name,label
rioblanco,Rio Blanco County
rise,Rise Broadband
roggen,Roggen Telephone Cooperative Company
rye,Rye Telephone Company (RTC)
s_t,S&T Telephone Coop Association
vero,"San Isabel Telecom, Inc."
ciello,San Luis Valley Rural Electric Cooperative
secom,SECOM
huerfano,SimplyBroadband Solutions- Huerfano Tel
visionary,"SkyWerx Industries, LLC"
slopeside,"Slopeside Internet, LLC"
snet,SNET
southpark,South Park Telephone
spectrotel,Spectrotel
charter,Spectrum Internet
starband,Starband Communications Inc.
starry,Starry Internet
stelera,"Stelera Wireless, LLC"
stoneham,Stoneham Cooperative Telephone Corporation
strasburg,Strasburg Telephone Company
strata,Strata Networks
stratus,StratusIQ
syringa,"Syringa Networks, LLC"
tmobile,T-Mobile
t2tech,T2 Technologies
tahosa,Tahosa
tdsbroadband,TDS Broadband
tdstelecom,TDS Telecom
telefonica,Telefonica USA
teller,TellerWifi
telos,Telos Online
thrive,Thrive Broadband
charter,Time Warner Cable
ting,Ting Internet
trailblazer,Town of Estes Park
tpx,TPx Communications
trailblazer,Trailblazer Broadband
trustcomm,"TrustComm, Inc."
ting,Tucows
twt,"TW Telecom of Colorado, LLC"
strata,Uintah Basin Electronic Telecommunications
union,Union Telephone Company
unite,Unite Private Networks
greatplains,USA Communications
highline,USConnect Acquisitions LLC
umce,Ute Mountain Communications Enterprise
velocitynet,VelocityNet
verizon,Verizon Wireless
forethoughtnet,Vero Broadband
verso,Verso Networks
viaero,Viaero Wireless
viasat,ViaSat Communications
vision,Vision Wireless Communications
visionary,Visionary Broadband
vistabeam,Vistabeam
vyve,Vyve Broadband
wifiwest,Wifi West
verso,Wifihood
blue,Wiggins Telephone Association
willard,Willard Telephone Company
kellin,"Windfield Enterprises, LLC"
xbar7,"xbar7 Communications, LLC"
comcast,Xfinity
xiber,Xiber
xo,XO Communications
xtream,Xtream Internet
luminate,Yampa Valley Electric Association (YVEA)
z3n,"Z3N, LLC"
zayo,"Zayo Enterprise Networks, LLC"
zero,Zero Error Networks
ting,Zippy Tech Inc
zirkel,Zirkel Wireless
zito,Zito Media
zumacom,Zumacom
